docketId,commentId,clusterId,clusterMethod,duplicateScore,isTemplate,technicalContentScore,authenticitySignal,clusterRepresentativeId,reviewer,notes
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0129,rg-comment-cluster-7d89f7dcb153,normalized-text-sha1-plus-regulations-duplicate-count-v1,0.0000,false,0.6867,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0129,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0130,rg-comment-cluster-d3e067d14bbb,normalized-text-sha1-plus-regulations-duplicate-count-v1,0.0000,false,0.6858,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0130,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0131,rg-comment-cluster-a741592124ca,normalized-text-sha1-plus-regulations-duplicate-count-v1,0.0000,false,0.7025,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0131,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0132,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0133,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0134,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0135,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0136,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0137,rg-comment-cluster-6a3d4dd315fb,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6850,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0137,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0138,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0139,rg-comment-cluster-54cbcfcd5b98,normalized-text-sha1-plus-regulations-duplicate-count-v1,0.0000,false,0.6867,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0139,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0140,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0141,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0142,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0143,rg-comment-cluster-acf55b86f635,normalized-text-sha1-plus-regulations-duplicate-count-v1,0.0000,false,0.6975,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0143,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0144,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0145,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0146,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
EPA-R08-OAR-2024-0389,EPA-R08-OAR-2024-0389-0147,rg-comment-cluster-ed3acfbcaee3,normalized-text-sha1-plus-regulations-duplicate-count-v1,1.0000,true,0.6833,public_comment_body_present; duplicateComments=1,EPA-R08-OAR-2024-0389-0074,script:build-first-wave-comment-products,Reproducible pre-review clustering; not agency uptake coding.
